text,polarity,emotion,tone,intensity
I regret buying this honestly,negative,sadness,casual,0.85
The service was excellent.,positive,happiness,formal,0.91
This exceeded my expectations,positive,surprise,professional,0.91
This exceeded my expectations!!,positive,surprise,professional,0.85
This is a fantastic experience.,positive,happiness,formal,0.91
Nothing special here. bro,neutral,neutral,casual,0.38
This is average!!!,neutral,neutral,professional,0.42
This is a fantastic experience!!,positive,happiness,formal,0.95
It works as expected.,neutral,neutral,formal,0.45
This is a terrible experience!,negative,stress,formal,0.95
I am very satisfied with the result!!!,positive,happiness,formal,0.89
The result is acceptable!!,neutral,neutral,formal,0.39
I hate this so much. lol,negative,anger,casual,0.91
This is absolutely frustrating! sincerely,negative,anger,formal,0.94
The quality is awful!,negative,anger,professional,0.97
This is a fantastic experience sincerely,positive,happiness,formal,0.95
This seems fine!,neutral,neutral,casual,0.46
This made me anxious!!! bro,negative,anxiety,casual,0.92
This is absolutely frustrating.,negative,anger,formal,0.94
This made me anxious!!! bro,negative,anxiety,casual,0.91
I am very satisfied with the result!! accordingly,positive,happiness,formal,0.93
Nothing special here,neutral,neutral,casual,0.38
The product is okay,neutral,neutral,casual,0.42
I feel great about this!!,positive,happiness,casual,0.93
This is average.,neutral,neutral,professional,0.45
The product is okay!!! lol,neutral,neutral,casual,0.48
I am very disappointed therefore,negative,sadness,formal,0.89
The service was excellent overall,positive,happiness,formal,0.88
This is a fantastic experience! in my opinion,positive,happiness,formal,0.92
This is absolutely frustrating,negative,anger,formal,0.94
It works as expected!!!,neutral,neutral,formal,0.46
This exceeded my expectations,positive,surprise,professional,0.83
I feel stressed about this!,negative,stress,casual,0.89
It works as expected.,neutral,neutral,formal,0.43
This is a fantastic experience.,positive,happiness,formal,0.94
This exceeded my expectations!!,positive,surprise,professional,0.87
This is a terrible experience!!! in my opinion,negative,stress,formal,0.92
I regret buying this!! honestly,negative,sadness,casual,0.89
What a wonderful outcome!!!,positive,surprise,formal,0.89
I am very satisfied with the result!,positive,happiness,formal,0.86
I am truly impressed,positive,happiness,professional,0.84
The quality is awful.,negative,anger,professional,0.87
I am very satisfied with the result.,positive,happiness,formal,0.91
I feel stressed about this!!!,negative,stress,casual,0.88
I am truly impressed.,positive,happiness,professional,0.86
I hate this so much! kinda,negative,anger,casual,0.98
This made me anxious!,negative,anxiety,casual,0.92
The service was excellent!!!,positive,happiness,formal,0.92
This is a terrible experience!,negative,stress,formal,0.89
I hate this so much.,negative,anger,casual,0.92
The product is okay!!!,neutral,neutral,casual,0.46
I feel stressed about this!!! lol,negative,stress,casual,0.92
The service was excellent.,positive,happiness,formal,0.93
The service was excellent!,positive,happiness,formal,0.93
This is a fantastic experience,positive,happiness,formal,0.91
I feel great about this.,positive,happiness,casual,0.85
This is a fantastic experience!!,positive,happiness,formal,0.94
This made me anxious!! lol,negative,anxiety,casual,0.92
I am very satisfied with the result.,positive,happiness,formal,0.9
I regret buying this! lol,negative,sadness,casual,0.88
I am very satisfied with the result!,positive,happiness,formal,0.9
It does the job!,neutral,neutral,professional,0.4
This is a fantastic experience,positive,happiness,formal,0.85
I am truly impressed.,positive,happiness,professional,0.82
It works as expected.,neutral,neutral,formal,0.45
The quality is awful!!,negative,anger,professional,0.94
The result is acceptable!!,neutral,neutral,formal,0.46
I am very disappointed!,negative,sadness,formal,0.9
This made me anxious lol,negative,anxiety,casual,0.89
This made me anxious!!,negative,anxiety,casual,0.9
This is a fantastic experience.,positive,happiness,formal,0.9
This is a terrible experience!!!,negative,stress,formal,0.93
I absolutely love this product!!!,positive,happiness,casual,0.91
This is a fantastic experience!!,positive,happiness,formal,0.94
This is average!!!,neutral,neutral,professional,0.44
The quality is awful.,negative,anger,professional,0.89
I am very satisfied with the result therefore,positive,happiness,formal,0.93
I regret buying this!,negative,sadness,casual,0.85
This exceeded my expectations!!,positive,surprise,professional,0.87
I am truly impressed!!!,positive,happiness,professional,0.87
I am truly impressed!!!,positive,happiness,professional,0.88
I am truly impressed!,positive,happiness,professional,0.89
I feel stressed about this,negative,stress,casual,0.91
This is absolutely frustrating,negative,anger,formal,0.89
I am very satisfied with the result!,positive,happiness,formal,0.92
This is a terrible experience!,negative,stress,formal,0.95
Nothing special here!!,neutral,neutral,casual,0.41
The quality is awful,negative,anger,professional,0.96
It does the job!!,neutral,neutral,professional,0.42
I regret buying this!!!,negative,sadness,casual,0.91
This exceeded my expectations,positive,surprise,professional,0.9
This seems fine,neutral,neutral,casual,0.44
I am very satisfied with the result!!! sincerely,positive,happiness,formal,0.89
I regret buying this!,negative,sadness,casual,0.88
This is a fantastic experience!,positive,happiness,formal,0.93
This made me anxious!!,negative,anxiety,casual,0.91
This is absolutely frustrating!!! sincerely,negative,anger,formal,0.93
Nothing special here.,neutral,neutral,casual,0.37
The service was excellent!!! in my opinion,positive,happiness,formal,0.94
I am truly impressed!!,positive,happiness,professional,0.82
I absolutely love this product.,positive,happiness,casual,0.9
I am very satisfied with the result.,positive,happiness,formal,0.85
This is average.,neutral,neutral,professional,0.36
It does the job!!!,neutral,neutral,professional,0.43
The service was excellent!,positive,happiness,formal,0.9
I hate this so much!! really,negative,anger,casual,0.96
This exceeded my expectations!!,positive,surprise,professional,0.89
The quality is awful!!!,negative,anger,professional,0.93
This is a fantastic experience! overall,positive,happiness,formal,0.86
This seems fine.,neutral,neutral,casual,0.45
I feel great about this,positive,happiness,casual,0.87
It works as expected.,neutral,neutral,formal,0.39
The service was excellent!!! therefore,positive,happiness,formal,0.93
I absolutely love this product.,positive,happiness,casual,0.97
I hate this so much!,negative,anger,casual,0.93
I am very satisfied with the result.,positive,happiness,formal,0.86
I am truly impressed,positive,happiness,professional,0.84
This made me anxious!!!,negative,anxiety,casual,0.93
The service was excellent.,positive,happiness,formal,0.88
This is a terrible experience. accordingly,negative,stress,formal,0.91
I regret buying this,negative,sadness,casual,0.88
I feel stressed about this!! bro,negative,stress,casual,0.88
What a wonderful outcome.,positive,surprise,formal,0.82
What a wonderful outcome!! overall,positive,surprise,formal,0.86
I am truly impressed!!!,positive,happiness,professional,0.83
I hate this so much!!,negative,anger,casual,0.94
The quality is awful.,negative,anger,professional,0.9
I absolutely love this product!! lol,positive,happiness,casual,0.92
The result is acceptable!! in my opinion,neutral,neutral,formal,0.48
I hate this so much!!! bro,negative,anger,casual,0.9
It works as expected,neutral,neutral,formal,0.39
I am very disappointed accordingly,negative,sadness,formal,0.89
I feel great about this!!,positive,happiness,casual,0.84
I feel great about this.,positive,happiness,casual,0.91
This is a fantastic experience!,positive,happiness,formal,0.88
I am very satisfied with the result,positive,happiness,formal,0.84
I am truly impressed!,positive,happiness,professional,0.83
This is a fantastic experience!!,positive,happiness,formal,0.85
It does the job.,neutral,neutral,professional,0.47
What a wonderful outcome!!!,positive,surprise,formal,0.8
The quality is awful,negative,anger,professional,0.93
I feel stressed about this!!! honestly,negative,stress,casual,0.87
This is a fantastic experience!,positive,happiness,formal,0.92
It works as expected! overall,neutral,neutral,formal,0.46
It works as expected!,neutral,neutral,formal,0.43
I feel great about this!!,positive,happiness,casual,0.91
The service was excellent. therefore,positive,happiness,formal,0.92
I am truly impressed!!,positive,happiness,professional,0.9
The result is acceptable sincerely,neutral,neutral,formal,0.46
This is average!!!,neutral,neutral,professional,0.42
This is average.,neutral,neutral,professional,0.41
The experience was ordinary!!!,neutral,neutral,formal,0.42
I am truly impressed!,positive,happiness,professional,0.8
I am very disappointed!!,negative,sadness,formal,0.89
I feel great about this!! honestly,positive,happiness,casual,0.9
The quality is awful.,negative,anger,professional,0.89
The service was excellent! overall,positive,happiness,formal,0.87
This is a fantastic experience!! sincerely,positive,happiness,formal,0.89
This is absolutely frustrating overall,negative,anger,formal,0.93
What a wonderful outcome!! accordingly,positive,surprise,formal,0.84
This is absolutely frustrating overall,negative,anger,formal,0.9
This is a fantastic experience.,positive,happiness,formal,0.89
The experience was ordinary!!!,neutral,neutral,formal,0.36
It does the job,neutral,neutral,professional,0.39
I am truly impressed!,positive,happiness,professional,0.83
What a wonderful outcome!,positive,surprise,formal,0.85
I am very disappointed!!,negative,sadness,formal,0.91
The result is acceptable!!,neutral,neutral,formal,0.49
This is a terrible experience!!!,negative,stress,formal,0.86
This is a fantastic experience!,positive,happiness,formal,0.87
This is a fantastic experience sincerely,positive,happiness,formal,0.93
What a wonderful outcome. sincerely,positive,surprise,formal,0.79
I am truly impressed!,positive,happiness,professional,0.84
I hate this so much! honestly,negative,anger,casual,0.98
The product is okay!!!,neutral,neutral,casual,0.42
This is average,neutral,neutral,professional,0.4
The experience was ordinary,neutral,neutral,formal,0.38
I feel great about this.,positive,happiness,casual,0.86
This exceeded my expectations!,positive,surprise,professional,0.85
This is a terrible experience sincerely,negative,stress,formal,0.87
The quality is awful!!,negative,anger,professional,0.88
I absolutely love this product. lol,positive,happiness,casual,0.88
I regret buying this.,negative,sadness,casual,0.89
This is average.,neutral,neutral,professional,0.43
This is a fantastic experience!,positive,happiness,formal,0.93
The quality is awful.,negative,anger,professional,0.88
Nothing special here. really,neutral,neutral,casual,0.35
What a wonderful outcome,positive,surprise,formal,0.85
I am very disappointed!!!,negative,sadness,formal,0.88
It does the job,neutral,neutral,professional,0.4
I absolutely love this product!!!,positive,happiness,casual,0.96
I am very disappointed!!!,negative,sadness,formal,0.84
This is average!!,neutral,neutral,professional,0.43
I absolutely love this product!!!,positive,happiness,casual,0.91
I absolutely love this product. kinda,positive,happiness,casual,0.9
I feel stressed about this!,negative,stress,casual,0.87
I am very disappointed!!!,negative,sadness,formal,0.9
I feel great about this!!! honestly,positive,happiness,casual,0.92
The product is okay.,neutral,neutral,casual,0.44
I am truly impressed.,positive,happiness,professional,0.85
The result is acceptable,neutral,neutral,formal,0.48
I regret buying this.,negative,sadness,casual,0.91
This is a terrible experience!! overall,negative,stress,formal,0.94
The result is acceptable.,neutral,neutral,formal,0.44
I am truly impressed,positive,happiness,professional,0.85
The service was excellent!!!,positive,happiness,formal,0.89
This exceeded my expectations,positive,surprise,professional,0.86
Nothing special here!!!,neutral,neutral,casual,0.37
I feel stressed about this!!! honestly,negative,stress,casual,0.92
This exceeded my expectations!,positive,surprise,professional,0.85
This is a terrible experience.,negative,stress,formal,0.89
This exceeded my expectations!!,positive,surprise,professional,0.83
This is a terrible experience!!,negative,stress,formal,0.94
The service was excellent,positive,happiness,formal,0.89
This exceeded my expectations,positive,surprise,professional,0.87
I regret buying this!!,negative,sadness,casual,0.87
This made me anxious!!!,negative,anxiety,casual,0.89
This is absolutely frustrating.,negative,anger,formal,0.92
The quality is awful!,negative,anger,professional,0.93
This exceeded my expectations,positive,surprise,professional,0.91
This seems fine,neutral,neutral,casual,0.41
I am very disappointed!!! overall,negative,sadness,formal,0.86
This exceeded my expectations,positive,surprise,professional,0.86
The product is okay,neutral,neutral,casual,0.43
What a wonderful outcome!! sincerely,positive,surprise,formal,0.87
I feel great about this. bro,positive,happiness,casual,0.91
This is absolutely frustrating!!,negative,anger,formal,0.92
The product is okay really,neutral,neutral,casual,0.41
This made me anxious,negative,anxiety,casual,0.95
The product is okay!! really,neutral,neutral,casual,0.45
It works as expected!!! accordingly,neutral,neutral,formal,0.4
I regret buying this!,negative,sadness,casual,0.88
It works as expected,neutral,neutral,formal,0.4
This is a terrible experience! therefore,negative,stress,formal,0.92
This is a terrible experience. overall,negative,stress,formal,0.95
I am very disappointed in my opinion,negative,sadness,formal,0.92
I hate this so much!!! honestly,negative,anger,casual,0.93
I am very disappointed!!! sincerely,negative,sadness,formal,0.92
I regret buying this!!,negative,sadness,casual,0.88
This is absolutely frustrating!,negative,anger,formal,0.96
This made me anxious,negative,anxiety,casual,0.88
This is average!!!,neutral,neutral,professional,0.44
I feel great about this,positive,happiness,casual,0.88
The service was excellent.,positive,happiness,formal,0.95
I feel stressed about this! really,negative,stress,casual,0.84
I feel stressed about this! bro,negative,stress,casual,0.88
I feel stressed about this!,negative,stress,casual,0.91
I am very satisfied with the result! sincerely,positive,happiness,formal,0.85
I feel great about this! bro,positive,happiness,casual,0.9
The service was excellent.,positive,happiness,formal,0.95
I feel stressed about this!! lol,negative,stress,casual,0.87
This is a fantastic experience! accordingly,positive,happiness,formal,0.92
This is average!!!,neutral,neutral,professional,0.36
I absolutely love this product!!,positive,happiness,casual,0.97
The result is acceptable.,neutral,neutral,formal,0.42
This is a fantastic experience!!!,positive,happiness,formal,0.9
What a wonderful outcome!!!,positive,surprise,formal,0.88
It works as expected! therefore,neutral,neutral,formal,0.38
I feel stressed about this!!!,negative,stress,casual,0.88
This is a fantastic experience.,positive,happiness,formal,0.94
What a wonderful outcome! accordingly,positive,surprise,formal,0.79
It works as expected!!,neutral,neutral,formal,0.39
I am very satisfied with the result!!! therefore,positive,happiness,formal,0.87
I feel stressed about this!!,negative,stress,casual,0.94
I am truly impressed.,positive,happiness,professional,0.81
I hate this so much,negative,anger,casual,0.9
The quality is awful!!!,negative,anger,professional,0.89
I feel great about this!,positive,happiness,casual,0.88
I feel stressed about this.,negative,stress,casual,0.94
I regret buying this!!! really,negative,sadness,casual,0.88
This is a terrible experience. overall,negative,stress,formal,0.93
I feel great about this!!!,positive,happiness,casual,0.87
I am very satisfied with the result!!,positive,happiness,formal,0.92
This is a fantastic experience,positive,happiness,formal,0.93
I absolutely love this product.,positive,happiness,casual,0.88
This made me anxious!,negative,anxiety,casual,0.92
This exceeded my expectations,positive,surprise,professional,0.83
This seems fine!!!,neutral,neutral,casual,0.43
What a wonderful outcome!! sincerely,positive,surprise,formal,0.88
Nothing special here!,neutral,neutral,casual,0.38
This exceeded my expectations!!!,positive,surprise,professional,0.92
This exceeded my expectations!!,positive,surprise,professional,0.83
This is a terrible experience!!,negative,stress,formal,0.9
This is a terrible experience!,negative,stress,formal,0.94
This is a fantastic experience!!!,positive,happiness,formal,0.94
This made me anxious!!!,negative,anxiety,casual,0.86
I am very satisfied with the result.,positive,happiness,formal,0.93
The experience was ordinary. sincerely,neutral,neutral,formal,0.42
Nothing special here,neutral,neutral,casual,0.34
This made me anxious!!,negative,anxiety,casual,0.89
The result is acceptable!!! in my opinion,neutral,neutral,formal,0.41
This is a terrible experience!!,negative,stress,formal,0.92
It works as expected!!! therefore,neutral,neutral,formal,0.38
This exceeded my expectations!,positive,surprise,professional,0.88
I hate this so much,negative,anger,casual,0.94
What a wonderful outcome!!!,positive,surprise,formal,0.84
I am truly impressed,positive,happiness,professional,0.81
What a wonderful outcome. sincerely,positive,surprise,formal,0.84
It does the job!,neutral,neutral,professional,0.41
This made me anxious!! bro,negative,anxiety,casual,0.93
This is a fantastic experience!!! in my opinion,positive,happiness,formal,0.94
The quality is awful,negative,anger,professional,0.93
This seems fine! really,neutral,neutral,casual,0.37
I absolutely love this product!! honestly,positive,happiness,casual,0.95
This is absolutely frustrating!,negative,anger,formal,0.94
I regret buying this bro,negative,sadness,casual,0.83
This exceeded my expectations,positive,surprise,professional,0.91
This exceeded my expectations!!!,positive,surprise,professional,0.9
The product is okay.,neutral,neutral,casual,0.47
I hate this so much!! really,negative,anger,casual,0.96
I am very satisfied with the result! overall,positive,happiness,formal,0.92
I absolutely love this product!! lol,positive,happiness,casual,0.9
This is a terrible experience,negative,stress,formal,0.95
The service was excellent,positive,happiness,formal,0.9
This is a terrible experience!!! overall,negative,stress,formal,0.95
I feel stressed about this!! lol,negative,stress,casual,0.91
I am very satisfied with the result!!!,positive,happiness,formal,0.91
I feel great about this!!,positive,happiness,casual,0.89
This is a fantastic experience,positive,happiness,formal,0.86
I hate this so much!,negative,anger,casual,0.89
This exceeded my expectations!!!,positive,surprise,professional,0.85
I feel great about this! really,positive,happiness,casual,0.88
What a wonderful outcome. accordingly,positive,surprise,formal,0.81
This made me anxious. lol,negative,anxiety,casual,0.88
This is a fantastic experience,positive,happiness,formal,0.89
This exceeded my expectations!!,positive,surprise,professional,0.89
Nothing special here.,neutral,neutral,casual,0.38
This is average.,neutral,neutral,professional,0.38
I am truly impressed!!!,positive,happiness,professional,0.87
This is a fantastic experience.,positive,happiness,formal,0.89
I hate this so much.,negative,anger,casual,0.95
This is a terrible experience!,negative,stress,formal,0.89
This made me anxious!!! really,negative,anxiety,casual,0.92
I regret buying this.,negative,sadness,casual,0.9
I feel great about this honestly,positive,happiness,casual,0.87
Nothing special here.,neutral,neutral,casual,0.4
This is absolutely frustrating!,negative,anger,formal,0.96
The service was excellent!,positive,happiness,formal,0.91
I absolutely love this product!,positive,happiness,casual,0.89
The service was excellent!!!,positive,happiness,formal,0.92
This is absolutely frustrating!!! in my opinion,negative,anger,formal,0.92
I feel great about this.,positive,happiness,casual,0.94
The service was excellent,positive,happiness,formal,0.89
This is average.,neutral,neutral,professional,0.45
This is a terrible experience sincerely,negative,stress,formal,0.94
Nothing special here!,neutral,neutral,casual,0.36
I am truly impressed!!,positive,happiness,professional,0.83
This is a fantastic experience.,positive,happiness,formal,0.89
I feel great about this!,positive,happiness,casual,0.92
I feel stressed about this!!!,negative,stress,casual,0.88
What a wonderful outcome! accordingly,positive,surprise,formal,0.85
I feel stressed about this.,negative,stress,casual,0.85
I hate this so much.,negative,anger,casual,0.91
I regret buying this,negative,sadness,casual,0.87
This made me anxious kinda,negative,anxiety,casual,0.85
Nothing special here!!,neutral,neutral,casual,0.37
It works as expected accordingly,neutral,neutral,formal,0.47
I am very satisfied with the result,positive,happiness,formal,0.92
I regret buying this.,negative,sadness,casual,0.89
I hate this so much!,negative,anger,casual,0.88
I regret buying this!! lol,negative,sadness,casual,0.85
The quality is awful!,negative,anger,professional,0.92
This is a terrible experience!!!,negative,stress,formal,0.94
This exceeded my expectations!,positive,surprise,professional,0.92
It works as expected!!!,neutral,neutral,formal,0.44
What a wonderful outcome!,positive,surprise,formal,0.87
This seems fine,neutral,neutral,casual,0.44
What a wonderful outcome! therefore,positive,surprise,formal,0.84
I am very disappointed,negative,sadness,formal,0.87
I regret buying this kinda,negative,sadness,casual,0.88
This exceeded my expectations!!!,positive,surprise,professional,0.83
I am very disappointed!!!,negative,sadness,formal,0.85
This is a terrible experience,negative,stress,formal,0.95
What a wonderful outcome!!,positive,surprise,formal,0.83
I am very disappointed!,negative,sadness,formal,0.86
The service was excellent.,positive,happiness,formal,0.89
The service was excellent!!! therefore,positive,happiness,formal,0.93
The quality is awful!!!,negative,anger,professional,0.87
This is absolutely frustrating!,negative,anger,formal,0.97
The experience was ordinary!!!,neutral,neutral,formal,0.42
I hate this so much!!!,negative,anger,casual,0.88
This is a terrible experience!!,negative,stress,formal,0.91
I absolutely love this product really,positive,happiness,casual,0.88
This made me anxious!!!,negative,anxiety,casual,0.91
I am truly impressed!!,positive,happiness,professional,0.89
I feel great about this!! kinda,positive,happiness,casual,0.84
I am very disappointed!! therefore,negative,sadness,formal,0.89
This exceeded my expectations,positive,surprise,professional,0.89
This is absolutely frustrating!!!,negative,anger,formal,0.94
I hate this so much!!! really,negative,anger,casual,0.94
I am truly impressed.,positive,happiness,professional,0.85
I am very satisfied with the result sincerely,positive,happiness,formal,0.85
I feel stressed about this!!!,negative,stress,casual,0.89
This seems fine!! honestly,neutral,neutral,casual,0.44
This is a terrible experience! sincerely,negative,stress,formal,0.91
The service was excellent!!!,positive,happiness,formal,0.94
I feel great about this!,positive,happiness,casual,0.87
This exceeded my expectations!,positive,surprise,professional,0.89
I am very satisfied with the result! therefore,positive,happiness,formal,0.83
I am truly impressed!,positive,happiness,professional,0.86
It does the job!!,neutral,neutral,professional,0.43
I feel great about this!,positive,happiness,casual,0.85
This is average!!,neutral,neutral,professional,0.42
This is average!!!,neutral,neutral,professional,0.37
I regret buying this!!!,negative,sadness,casual,0.82
I am truly impressed!!!,positive,happiness,professional,0.89
This is a terrible experience!!!,negative,stress,formal,0.87
This made me anxious.,negative,anxiety,casual,0.92
The experience was ordinary!! sincerely,neutral,neutral,formal,0.4
This is a fantastic experience. accordingly,positive,happiness,formal,0.89
I hate this so much!!,negative,anger,casual,0.91
The quality is awful!!,negative,anger,professional,0.95
I feel great about this. bro,positive,happiness,casual,0.92
This is absolutely frustrating!!! therefore,negative,anger,formal,0.93
I regret buying this. lol,negative,sadness,casual,0.91
I absolutely love this product!!,positive,happiness,casual,0.95
The experience was ordinary!!!,neutral,neutral,formal,0.38
The quality is awful!!,negative,anger,professional,0.9
This made me anxious.,negative,anxiety,casual,0.93
I hate this so much!!!,negative,anger,casual,0.89
It does the job!!!,neutral,neutral,professional,0.4
What a wonderful outcome!! sincerely,positive,surprise,formal,0.86
I am truly impressed,positive,happiness,professional,0.88
I regret buying this!,negative,sadness,casual,0.87
I am truly impressed.,positive,happiness,professional,0.85
I hate this so much.,negative,anger,casual,0.91
I am very satisfied with the result. sincerely,positive,happiness,formal,0.92
This exceeded my expectations.,positive,surprise,professional,0.87
I feel great about this!,positive,happiness,casual,0.86
The experience was ordinary!!,neutral,neutral,formal,0.36
I hate this so much!,negative,anger,casual,0.89
This made me anxious!! really,negative,anxiety,casual,0.92
I am very disappointed!,negative,sadness,formal,0.92
I am very satisfied with the result!,positive,happiness,formal,0.89
I am very disappointed!,negative,sadness,formal,0.92
I am very satisfied with the result,positive,happiness,formal,0.9
The service was excellent,positive,happiness,formal,0.93
This is a fantastic experience!!,positive,happiness,formal,0.89
This is a fantastic experience!!!,positive,happiness,formal,0.87
This exceeded my expectations!!,positive,surprise,professional,0.88
I feel great about this.,positive,happiness,casual,0.86
The service was excellent.,positive,happiness,formal,0.92
This is a fantastic experience. sincerely,positive,happiness,formal,0.87
The service was excellent!!,positive,happiness,formal,0.95
I am very satisfied with the result.,positive,happiness,formal,0.86
This is a terrible experience.,negative,stress,formal,0.89
This is average.,neutral,neutral,professional,0.38
This is a terrible experience. therefore,negative,stress,formal,0.87
The product is okay! honestly,neutral,neutral,casual,0.42
I am truly impressed!!,positive,happiness,professional,0.81
I hate this so much.,negative,anger,casual,0.88
This is absolutely frustrating.,negative,anger,formal,0.93
I regret buying this!!! lol,negative,sadness,casual,0.84
What a wonderful outcome!!! in my opinion,positive,surprise,formal,0.79
The result is acceptable!!!,neutral,neutral,formal,0.47
This is a fantastic experience!,positive,happiness,formal,0.88
I feel stressed about this honestly,negative,stress,casual,0.87
I hate this so much!,negative,anger,casual,0.9
The result is acceptable!,neutral,neutral,formal,0.43
This is a terrible experience!,negative,stress,formal,0.94
I regret buying this!!!,negative,sadness,casual,0.85
I regret buying this!,negative,sadness,casual,0.86
I am very satisfied with the result. accordingly,positive,happiness,formal,0.85
This seems fine!!! bro,neutral,neutral,casual,0.45
I absolutely love this product!! lol,positive,happiness,casual,0.96
This is a terrible experience!,negative,stress,formal,0.95
I am truly impressed,positive,happiness,professional,0.83
I hate this so much,negative,anger,casual,0.96
This is a terrible experience!!!,negative,stress,formal,0.94
This is a terrible experience!! sincerely,negative,stress,formal,0.87
I regret buying this!,negative,sadness,casual,0.89
Nothing special here. bro,neutral,neutral,casual,0.35
